bid,mode,keep_rate,estimator,n_models,n_dropped,mean_bias,lo95,hi95,ci_lo,ci_hi
ai2d_test,features_only,0.5,naive,254,0,-0.00025513652,-0.0023175305337645113,0.0019809133023954927,-0.0003243843438934761,-0.00018588869172220653
ai2d_test,features_only,0.5,irt,254,0,-0.04748551,-0.04993503084406257,-0.04502328978851437,-0.04756617924638806,-0.047404844253577605
ai2d_test,features_only,0.5,ipw,254,0,-0.011151577,-0.013021864136680961,-0.009423808031715454,-0.011208807506705401,-0.011094347185348394
ai2d_test,features_only,0.5,dr,254,0,-0.0002451032,-0.002046686870744452,0.0017411807319149375,-0.00030596648726096917,-0.00018423992291608285
ai2d_test,features_only,0.6,naive,254,0,-0.00028042353,-0.0018047249555820598,0.0013306161446962506,-0.0003310346344519513,-0.00022981241838670208
ai2d_test,features_only,0.6,irt,254,0,-0.04870395,-0.050871380418539044,-0.04652808988466859,-0.04877421662481388,-0.048633683172148855
ai2d_test,features_only,0.6,ipw,254,0,-0.00085630204,-0.0024585704901255666,0.0007318736781598996,-0.0009066735233056552,-0.0008059305532959097
ai2d_test,features_only,0.6,dr,254,0,0.00014721573,-0.001234208230744116,0.0016936401982093226,0.00010227689062147192,0.0001921545713311548
ai2d_test,features_only,0.7,naive,254,0,-0.00020431164,-0.001322830215212889,0.0009294676099671042,-0.0002408090712327569,-0.00016781420900374063
ai2d_test,features_only,0.7,irt,254,0,-0.052118402,-0.05409597773104906,-0.05011904258280993,-0.052182345948878245,-0.052054458000001
ai2d_test,features_only,0.7,ipw,254,0,0.0048822616,0.003601804649224505,0.006149596616160124,0.004843247267696777,0.004921275977697453
ai2d_test,features_only,0.7,dr,254,0,0.00054163346,-0.0004608280665706843,0.0015900750411674378,0.0005079625812158716,0.0005753043401255476
ai2d_test,features_only,0.8,naive,254,0,-0.00017811358,-0.0009447337011806667,0.0006250230173463931,-0.00020372462886465026,-0.0001525025306354718
ai2d_test,features_only,0.8,irt,254,0,-0.054067142,-0.05585213303565979,-0.05239431401714682,-0.05412113975287697,-0.054013144862639695
ai2d_test,features_only,0.8,ipw,254,0,0.008076471,0.007296172075439244,0.008865422662347555,0.00805099242979177,0.008101950123370805
ai2d_test,features_only,0.8,dr,254,0,0.00067877845,-3.9907164409669346e-05,0.001402463621343486,0.0006557656123476935,0.0007017912904557871
ai2d_test,features_only,0.9,naive,254,0,-0.00014481605,-0.0006310422308160923,0.0003140258588246069,-0.0001598230586883219,-0.00012980903610283713
ai2d_test,features_only,0.9,irt,254,0,-0.05544107,-0.05689987735822797,-0.053920353297144175,-0.05548937284355228,-0.05539276785249646
ai2d_test,features_only,0.9,ipw,254,0,0.011386065,0.010910845105536282,0.011855019978247583,0.011370927718475261,0.011401201906606755
ai2d_test,features_only,0.9,dr,254,0,0.00088925264,0.0004883200475887861,0.0013099760806653648,0.0008757520929212991,0.0009027531839673099
ai2d_test,features_and_score,0.5,naive,254,0,0.0736872,0.07161733489483595,0.07577623780816793,0.0736215284079737,0.07375287804897362
ai2d_test,features_and_score,0.5,irt,254,0,0.022752296,0.020514007238671184,0.025065506948158144,0.02268009409110914,0.02282449826795687
ai2d_test,features_and_score,0.5,ipw,254,0,0.06353933,0.06153951399028301,0.06548475567251444,0.06347991474299533,0.06359875254006284
ai2d_test,features_and_score,0.5,dr,254,0,0.07413541,0.07206921316683293,0.07613895758986473,0.0740724004312991,0.07419841517958652
ai2d_test,features_and_score,0.6,naive,254,0,0.0611755,0.059724395070225,0.06252795848995447,0.06112940231737333,0.06122159590545458
ai2d_test,features_and_score,0.6,irt,254,0,0.0038380045,0.0021830104757100343,0.005640819924883545,0.003783591169184114,0.00389241791957054
ai2d_test,features_and_score,0.6,ipw,254,0,0.062089734,0.060464068036526444,0.06369156148284674,0.06203915179314124,0.06214031576571954
ai2d_test,features_and_score,0.6,dr,254,0,0.06138823,0.0600113213993609,0.0627648314461112,0.061344135747140247,0.061432327880675
ai2d_test,features_and_score,0.7,naive,254,0,0.04786453,0.04676978457719087,0.04894312657415867,0.047830481599583245,0.04789857887147465
ai2d_test,features_and_score,0.7,irt,254,0,-0.012444319,-0.0137917933287099,-0.011207755142822863,-0.012486543833862376,-0.012402094573129583
ai2d_test,features_and_score,0.7,ipw,254,0,0.05424861,0.05296206027269364,0.05539274541661143,0.05421099835722148,0.05428621894033254
ai2d_test,features_and_score,0.7,dr,254,0,0.048115633,0.04701234819367528,0.04919659961014986,0.04808191434551822,0.04814935251067532
ai2d_test,features_and_score,0.8,naive,254,0,0.033403344,0.032599891722202304,0.034238698054105045,0.03337739136889449,0.03342929753586778
ai2d_test,features_and_score,0.8,irt,254,0,-0.025167173,-0.02667929562740028,-0.023802236933261157,-0.025212809151495492,-0.025121536397849524
ai2d_test,features_and_score,0.8,ipw,254,0,0.042152215,0.041330183111131194,0.04296900723129511,0.0421267297576656,0.04217769983303646
ai2d_test,features_and_score,0.8,dr,254,0,0.03368431,0.032953648455441,0.034435135405510665,0.03366015690096081,0.03370846224300205
ai2d_test,features_and_score,0.9,naive,254,0,0.017637333,0.017136015836149453,0.01812500935047865,0.017621672470946592,0.017652993331770617
ai2d_test,features_and_score,0.9,irt,254,0,-0.03765131,-0.039118538983166216,-0.036125714611262086,-0.037700023025524235,-0.03760260018681326
ai2d_test,features_and_score,0.9,ipw,254,0,0.029540328,0.02905021598562598,0.030006052227690816,0.0295253261130891,0.029555330504790766
ai2d_test,features_and_score,0.9,dr,254,0,0.018306512,0.017839466920122504,0.01876109545119107,0.018292102715497197,0.018320922055716334
mmbench_v11,features_only,0.5,naive,251,0,0.010563381,0.008806757838465273,0.012304083653725683,0.010505993932960178,0.010620768099548672
mmbench_v11,features_only,0.5,irt,251,0,-0.041543055,-0.04362758798524737,-0.03960265135392547,-0.041607664987452185,-0.04147844566404089
mmbench_v11,features_only,0.5,ipw,251,0,-0.0009970011,-0.0036024548462592065,0.0016850343701662496,-0.0010797097389276835,-0.0009142924058560518
mmbench_v11,features_only,0.5,dr,251,0,4.0322575e-05,-0.001960550271905959,0.0017026261193677783,-1.8537948804592574e-05,9.918309866931461e-05
mmbench_v11,features_only,0.6,naive,251,0,0.0079733115,0.006595496495719999,0.00934087480418384,0.007930265653770226,0.008016357284147483
mmbench_v11,features_only,0.6,irt,251,0,-0.045117524,-0.046660770755261184,-0.04357262467965484,-0.04516733316434698,-0.045067713878022865
mmbench_v11,features_only,0.6,ipw,251,0,0.0037842912,0.001826614124001935,0.005736302898731083,0.0037219688496009998,0.0038466135771556206
mmbench_v11,features_only,0.6,dr,251,0,0.0003359736,-0.0011657825496513396,0.0016711143282009283,0.0002920735423508435,0.0003798736579660923
mmbench_v11,features_only,0.7,naive,251,0,0.005618191,0.004601722408551723,0.0065970152267254886,0.005586997549626733,0.005649384167399501
mmbench_v11,features_only,0.7,irt,251,0,-0.048612602,-0.049740841053426264,-0.047502499725669625,-0.04864817683344691,-0.04857702727669866
mmbench_v11,features_only,0.7,ipw,251,0,0.0067056743,0.0053411585744470354,0.008137746993452311,0.006661867069071713,0.006749481616550502
mmbench_v11,features_only,0.7,dr,251,0,0.00064492284,-0.0003018487608642317,0.0016161987121449783,0.0006140794451579519,0.0006757662319347195
mmbench_v11,features_only,0.8,naive,251,0,0.0034659675,0.002811593748629093,0.004180704557802528,0.0034437824787254207,0.0034881524926369317
mmbench_v11,features_only,0.8,irt,251,0,-0.05243466,-0.05330324545502663,-0.05154753588140011,-0.05246274996543916,-0.05240657102321593
mmbench_v11,features_only,0.8,ipw,251,0,0.0087104095,0.00773863421054557,0.009676341922022403,0.008678996630948616,0.008741822398263382
mmbench_v11,features_only,0.8,dr,251,0,0.0006994464,-4.6678911166964093e-05,0.0014114321209490299,0.0006768300005035297,0.0007220628398670061
mmbench_v11,features_only,0.9,naive,251,0,0.0015923636,0.0011683705728501082,0.002026878879405558,0.0015782786713960776,0.0016064484888640037
mmbench_v11,features_only,0.9,irt,251,0,-0.056225244,-0.05681528523564339,-0.055571405403316024,-0.0562443517375862,-0.056206136174115004
mmbench_v11,features_only,0.9,ipw,251,0,0.012403332,0.011793783120810985,0.012976858811452986,0.012383899917816632,0.012422763476157672
mmbench_v11,features_only,0.9,dr,251,0,0.0009108804,0.0004607961731380783,0.0013293812982738016,0.0008970302083203664,0.000924730578376902
mmbench_v11,features_and_score,0.5,naive,251,0,0.06603701,0.06437167897820473,0.06752534192055464,0.06598856795570482,0.06608544539668929
mmbench_v11,features_and_score,0.5,irt,251,0,0.026752695,0.02463583378121257,0.02888508755713701,0.026683888590222988,0.026821502292269078
mmbench_v11,features_and_score,0.5,ipw,251,0,0.06090721,0.05828848043456673,0.063537791185081,0.06082363315794154,0.060990789151457114
mmbench_v11,features_and_score,0.5,dr,251,0,0.06135112,0.059611406084150075,0.0629118774086237,0.06130099573167217,0.06140124521223652
mmbench_v11,features_and_score,0.6,naive,251,0,0.055723663,0.05453009232878685,0.05693815955892205,0.055684884664873265,0.05576244217409692
