benchmark_id,mode,keep_rate,naive_bias,naive_rmse,naive_rank_corr,irt_bias,irt_rmse,irt_rank_corr,ipw_bias,ipw_rmse,ipw_rank_corr,dr_bias,dr_rmse,dr_rank_corr
mmlupro,features_only,0.5,0.019184934,0.022354286,0.9999999999999999,-0.0026166453,0.008689922,0.9999999999999999,0.001238205407339693,0.006920195766184809,0.9878787878787878,-0.0025148588448739876,0.003701899362564861,0.9999999999999999
mmlupro,features_only,0.6,0.016626608,0.019852402,0.9999999999999999,-0.001541324,0.0069530876,0.9999999999999999,0.0006817037346125987,0.0059170443648938085,0.9999999999999999,-0.0013978131108142889,0.003765155905295006,0.9999999999999999
mmlupro,features_only,0.7,0.01382014,0.016230568,0.9999999999999999,-0.0006293595,0.0058739046,0.9999999999999999,-0.0010059250122259583,0.0034867403278806817,0.9999999999999999,-0.00021410400607968505,0.0016726560858956738,0.9999999999999999
mmlupro,features_only,0.8,0.009316264,0.011934123,0.9999999999999999,-0.00091144146,0.004310396,0.9999999999999999,0.0005319735962401123,0.002907755038191698,0.9999999999999999,-0.0008162153033078656,0.0022223189324792367,0.9999999999999999
mmlupro,features_only,0.9,0.0055654244,0.0063018305,0.9999999999999999,3.8743018e-08,0.0016911359,0.9999999999999999,0.004519516328931772,0.005996531089010072,0.9999999999999999,0.0002627603284851926,0.0008608671833993224,0.9999999999999999
mmlupro,features_and_score,0.5,0.009026064,0.014873923,0.9999999999999999,-0.011925504,0.015263026,0.9999999999999999,-0.0083605071531317,0.01121101688881777,0.9999999999999999,-0.012999789272152212,0.013942910224904057,0.9999999999999999
mmlupro,features_and_score,0.6,0.008557309,0.0139621915,0.9999999999999999,-0.009113838,0.011974884,0.9999999999999999,-0.007036435114254974,0.008634209613347859,0.9999999999999999,-0.009986171221417706,0.011031052486444775,0.9999999999999999
mmlupro,features_and_score,0.7,0.0074366434,0.010819506,0.9999999999999999,-0.0065547777,0.00905613,0.9999999999999999,-0.006816299164839135,0.008027216565708603,0.9999999999999999,-0.0068884289441443845,0.007442445388844798,0.9999999999999999
mmlupro,features_and_score,0.8,0.004990061,0.008108637,0.9999999999999999,-0.004849814,0.006283798,0.9999999999999999,-0.0027030710414808782,0.004314552689307683,0.9999999999999999,-0.005164672105157919,0.005519778264467839,0.9999999999999999
mmlupro,features_and_score,0.9,0.0033104555,0.0041386234,0.9999999999999999,-0.0019907176,0.0027961738,0.9999999999999999,0.0023259863999109897,0.0044500832949640814,0.9999999999999999,-0.0018956132282196363,0.0022053934068510177,0.9999999999999999
matharena,features_only,0.5,0.0018782405,0.039712008,0.9705882352941178,-0.045753423,0.1810427,0.9044117647058825,0.03989750107230852,0.16267762076660786,0.5833333333333334,-0.010703015594390231,0.05705000483259098,0.9779411764705883
matharena,features_only,0.6,-0.010577925,0.055175293,0.9460784313725492,0.0072137835,0.031037206,0.9436274509803922,0.02614261128282346,0.08003062315989651,0.9264705882352943,0.006653813744325149,0.028588959840403286,0.9583333333333335
matharena,features_only,0.7,-0.006157903,0.036307216,0.9558823529411765,-0.0028743849,0.017470125,0.9877450980392157,0.0009430521521994914,0.07106879366379111,0.9436274509803922,-0.0029095127361621507,0.018886591251209495,0.982843137254902
matharena,features_only,0.8,-0.020462729,0.03215329,0.9877450980392157,-0.003860023,0.015239941,0.9901960784313727,0.00095825911612719,0.04080872366726445,0.9730392156862747,-0.002717817536548366,0.019195407741664134,0.9901960784313727
matharena,features_only,0.9,-0.0020351592,0.02736874,0.9855521155830752,-0.0008440365,0.008068612,0.9938080495356036,0.24944969506886538,1.0649275433104373,0.8390092879256965,0.0003354518779926652,0.008747799289992093,0.9938080495356036
matharena,features_and_score,0.5,0.07722165,0.09682164,0.911764705882353,-0.00495086,0.18598835,0.8995098039215688,0.139273937463326,0.1751914974953352,0.8308823529411766,0.054827751706842384,0.07683591975528059,0.9019607843137255
matharena,features_and_score,0.6,0.043080688,0.07398077,0.8921568627450982,0.037883494,0.050136987,0.9264705882352943,0.08750603701300497,0.14222916905101654,0.8921568627450982,0.03929524910873554,0.05211254056718313,0.9264705882352943
matharena,features_and_score,0.7,0.03981062,0.059621993,0.9509803921568628,0.028871369,0.04012237,0.9632352941176472,0.03908560605863703,0.08762896181824112,0.9436274509803922,0.03072392838926752,0.041252581806348707,0.9681372549019608
matharena,features_and_score,0.8,0.012887958,0.03131187,0.9877450980392157,0.013794969,0.017697098,0.9950980392156863,0.03778445614562615,0.05497504389891139,0.9534313725490198,0.014946447771112804,0.020031163998019262,0.9950980392156863
matharena,features_and_score,0.9,0.02119855,0.027174467,0.981424148606811,0.012038314,0.019683681,0.9793601651186791,0.212730308449663,0.8164992747525615,0.8472652218782251,0.013683917690444561,0.020855903378336805,0.977296181630547
