benchmark_id,model_idx,mu_true,naive,irt,ipw,dr
mmlupro,4,0.6214099,0.62805784,0.6201048,0.6172779995618632,0.6203683437278041
mmlupro,12,0.29765013,0.3173066,0.30455974,0.29827570059407116,0.30012489040549417
mmlupro,19,0.5251689,0.5389801,0.5205593,0.5183897796852113,0.5226958654641993
mmlupro,24,0.32397035,0.35740587,0.3338787,0.3264296201067874,0.3267718287802771
mmlupro,25,0.24185126,0.25953865,0.24287643,0.23917221270945913,0.24177323467662704
mmlupro,26,0.29124907,0.3080654,0.29645082,0.29120589030046656,0.2913770365272892
mmlupro,27,0.59226817,0.60440356,0.5872213,0.5981587532381606,0.5924708246269274
mmlupro,37,0.8124098,0.814242,0.8040192,0.8103747890799688,0.8102949708572103
mmlupro,40,0.6599006,0.67098343,0.6538322,0.6586753278241454,0.6585750189127633
mmlupro,43,0.685168,0.6902641,0.6812501,0.6830268843247946,0.6844531535077991
matharena,0,0.7511328,0.79813623,0.754911,0.7047728096628555,0.7588434128184275
matharena,4,0.75409836,0.739726,0.74291825,0.8035630750490131,0.7450251227831516
matharena,10,0.38333333,0.4,0.39485142,0.4211341434575952,0.3940170614963098
matharena,12,0.875,0.84782606,0.8419693,0.851737388406131,0.842240522863634
matharena,18,0.8579235,0.84375,0.8468322,0.8238847990772853,0.8480508629561719
matharena,22,0.5506993,0.5731132,0.5555378,0.6446851077454093,0.5605755740887449
matharena,26,0.74147725,0.7604167,0.7372809,0.6449166727294341,0.7041388445831489
matharena,33,0.505618,0.4661017,0.49208912,0.5268056394531624,0.4990788373913851
matharena,53,0.7905189,0.7896409,0.78265816,0.8010923395075489,0.7782427489698123
matharena,64,0.68715847,0.62974685,0.6747276,0.5190410547675616,0.6731127438124479
matharena,65,0.41705248,0.375,0.37521315,0.399114377632141,0.39163354712637694
matharena,67,0.7674825,0.7368421,0.77662814,0.7654172906103915,0.7797577042460552
matharena,68,0.5174825,0.5625,0.5459341,0.6618506033401342,0.5562517406748446
matharena,76,0.4129464,0.33125,0.40506068,0.3705853176045188,0.40181844787361704
matharena,79,0.9859155,0.99761903,0.99383956,0.9833176893625084,0.9952995207870811
matharena,80,0.7038041,0.7064981,0.7246504,0.7052836016608486,0.7182701293702899
matharena,84,0.8279842,0.8667763,0.8356612,0.9184575082877439,0.8338089934106363
