benchmark_id,mode,keep_rate,naive_bias,naive_bias_lo,naive_bias_hi,naive_rmse,naive_rank_corr,irt_bias,irt_bias_lo,irt_bias_hi,irt_rmse,irt_rank_corr,ipw_bias,ipw_bias_lo,ipw_bias_hi,ipw_rmse,ipw_rank_corr,dr_bias,dr_bias_lo,dr_bias_hi,dr_rmse,dr_rank_corr
mmlupro,features_only,0.5,0.021644975679616135,0.018075488911320766,0.025052553717978293,0.025088709943538283,0.997937472861485,0.005132462518910567,-0.005934465474759538,0.017560523166321215,0.042622956831353566,0.9971775944420321,-0.0071543327157902355,-0.023255096518668087,0.001653785730951877,0.05356459869998993,0.9709075119409466,-0.00015473469235644197,-0.004111103771360534,0.00272525320039531,0.012196420374481692,0.9981545809813286
mmlupro,features_only,0.6,0.017083944131930668,0.01389606532175094,0.019963483923735717,0.020444741823933864,0.9990230134607033,0.00797604521115621,-0.004337057416948179,0.020131696861547723,0.04266828294489331,0.9983716891011724,-0.008280139787434193,-0.025553203955944293,0.0012264472097997716,0.05757986800177953,0.9627659574468085,-0.0006314193125272968,-0.003403868270418869,0.0015841168167694357,0.00883811132958807,0.999240121580547
mmlupro,features_only,0.7,0.0147630600258708,0.012275600906771919,0.017871908152786393,0.018136841525022897,0.9990230134607033,0.006866541691124439,-0.005352223113489648,0.018326281422438716,0.0411476181347582,0.9973947025618759,-0.004814484507095225,-0.01383433153922832,0.0004631489709079522,0.030552042495270153,0.9930525401650021,0.000594129094794088,-0.0008544695929599436,0.0028811377749514747,0.0066186204515227415,0.9991315675206253
mmlupro,features_only,0.8,0.0085865609968702,0.005164530337788165,0.01092555224119375,0.013703197623799276,0.9982631350412506,0.0007222269972165426,-0.01075130091048777,0.011770151555538174,0.03923050085076394,0.997286148501954,-0.0010805625054147172,-0.0044065538594502875,0.0010283161485890834,0.010682682691130912,0.9991315675206253,-0.0005264345537088806,-0.0026612742989592045,0.0009517839776063159,0.00684132139452352,0.9991315675206253
mmlupro,features_only,0.9,0.0048973870774110155,0.0033616280338416497,0.006203635083511469,0.007095777904534196,0.999240121580547,0.003686137186984221,-0.006377870216965675,0.014408749318681656,0.038883306429809646,0.9986973512809378,0.0025565299184208273,0.0013769116455029445,0.0035421378378668465,0.004423691597310041,0.9995657837603126,-0.00031960571958931927,-0.0009776594037784235,0.00030861391154734765,0.002317207281470588,0.9996743378202344
mmlupro,features_and_score,0.5,0.010680406354367733,0.007050941876756648,0.01431039721549799,0.017085283024412205,0.9980460269214069,-0.006044154055416584,-0.018954786262474953,0.00604017467703668,0.044522199587040165,0.9937038645245331,-0.01980208217028599,-0.03759025846377574,-0.009875813852519717,0.06185381243000169,0.9625488493269649,-0.01171226032304556,-0.0173816560551808,-0.007911096720895376,0.0204928386852093,0.9970690403821102
mmlupro,features_and_score,0.6,0.008807622517148653,0.005558063431332509,0.011649089655838905,0.013949742097085837,0.9980460269214069,-0.0025589962800343833,-0.014703403126137951,0.009177458332851529,0.04024406943661153,0.9982631350412506,-0.018156920529124345,-0.03671436535297914,-0.008215047999768766,0.06293071074893632,0.9626574033868867,-0.009238464296619961,-0.012267614189583623,-0.00680739203727972,0.013175343430690992,0.9982631350412506
mmlupro,features_and_score,0.7,0.008061426070829233,0.006021677213720977,0.010623569165666898,0.011877236924003791,0.9986973512809378,-0.003804179529349009,-0.015263683387699227,0.007495480341215925,0.038693137042657866,0.9978289188015632,-0.012831780946239643,-0.023643850360983223,-0.006530330772986648,0.03842379352895068,0.9841511072514111,-0.006390284387141333,-0.0075693445041377936,-0.00494501634550797,0.007915543424651443,0.999240121580547
mmlupro,features_and_score,0.8,0.0041763872529069586,0.0005058695329353214,0.006576340793011088,0.012160225282568216,0.9981545809813286,-0.00562877394258976,-0.017512941764046747,0.006081379111856222,0.04139613156723825,0.9960920538428136,-0.006721700172642476,-0.011959260648614765,-0.003593154961391201,0.018127765209753073,0.9973947025618759,-0.005032158907948529,-0.007591648185152979,-0.0032685758359627406,0.009562151567587572,0.9990230134607033
mmlupro,features_and_score,0.9,0.0026605970536669097,0.0009387422353029252,0.003949667164124549,0.006176352487820835,0.9989144594007816,0.003255308916171392,-0.00799330248652647,0.014996196795254936,0.03934161172209885,0.9978289188015632,-0.0015153135161683322,-0.005739464682086394,0.0011390387178724557,0.013296542735128696,0.9983716891011724,-0.002788084440737084,-0.004204698033843189,-0.0017864999278925575,0.005077834800759348,0.999240121580547
