subject_id,display_name,model_mean,n_items_observed,model_obs_rate
72f18153c9dfa348,Ray2333/GRM-llama3.2-3B-rewardmodel-ft,0.9224295645810465,2733,1.0
76490db9b38b0287,RLHFlow/RewardModel-Mistral-7B-for-DPA-v1,0.6556287352116111,2733,1.0
79d19afd65a001fd,Skywork/Skywork-Reward-Gemma-2-27B,0.9445664105378705,2733,1.0
7ab4a540acbc585e,hendrydong/Mistral-RM-for-RAFT-GSHF-v0,0.7925356750823271,2733,1.0
7b7e02a0946300fd,ContextualAI/archangel_sft-kto_pythia12-0b,0.5203622392974754,2733,1.0
7c3c869718d60399,google/gemini-1.5-pro-exp-0801,0.5160995243322356,2733,1.0
7c5ad3ab5c8f162d,mattshumer/Reflection-70B,0.8508964507866813,2733,1.0
7e1037539dc0ceef,google/gemma-2-27b-it,0.809854860348823,2733,1.0
7e112a02cd633b0d,0-hero/Matter-0.1-7B-boost-DPO-preview,0.7787413099158433,2733,1.0
7f5f1ce594a67c30,NousResearch/Nous-Hermes-2-Mixtral-8x7B-DPO,0.6716550798877912,2733,1.0
836b224a73042bee,Ray2333/GRM-Llama3-8B-rewardmodel-ft,0.920844005366508,2733,1.0
84c23285b40c204b,internlm/internlm2-1_8b-reward,0.8116233687035005,2733,1.0
85297fda5199a51d,Ray2333/Gemma-2B-rewardmodel-baseline,0.7361263568727894,2733,1.0
85c2d90c075e1a40,Skywork/Skywork-Critic-Llama-3.1-8B,0.8867544822539334,2733,1.0
8652b5b07d335451,PKU-Alignment/beaver-7b-v2.0-reward,0.6385412855226247,2733,1.0
87f33cc6758e2c0c,Ahjeong/MMPO_Gemma_7b_gamma1.1_epoch3,0.7719234052933286,2733,1.0
8854ab4084bef9b5,ContextualAI/archangel_sft-dpo_llama30b,0.5814123673618734,2733,1.0
8a3ba464c7ec6194,Skywork/Skywork-Reward-Llama-3.1-8B,0.9321258690084157,2733,1.0
8d3e5ab9cbbfdbc2,LxzGordon/URM-LLaMa-3.1-8B,0.936382485668984,2733,1.0
8dae112c4d70c246,weqweasdas/RM-Gemma-7B-4096,0.7016099524332235,2733,1.0
95ab572eef94a4e3,stabilityai/stable-code-instruct-3b,0.7208440053665081,2733,1.0
9a54f02eb5a3cfd4,allenai/llama-3-tulu-2-8b-uf-mean-rm,0.753921209903647,2733,1.0
9a9e1f98b4b18f3f,weqweasdas/hh_rlhf_rm_open_llama_3b,0.42369801195267714,2733,1.0
9c6268993870558b,openai/gpt-4o-2024-08-06,0.8796804488352238,2733,1.0
9dd862e8798ca007,openbmb/UltraRM-13b,0.6545920234174899,2733,1.0
9f3d69fe636ce966,Ray2333/GRM-Gemma-2B-rewardmodel-ft,0.8468105866569094,2733,1.0
a1138c0d5f61a9ba,mistralai/Mixtral-8x7B-Instruct-v0.1,0.6913221124527381,2733,1.0
a5f4a3af6d0f5d7d,OpenAssistant/reward-model-deberta-v3-large-v2,0.569203561409928,2733,1.0
a85a1a8d570285fc,allenai/tulu-v2.5-70b-preference-mix-rm,0.6378216855714111,2733,1.0
a8b2d7ad74e8cf7c,Ahjeong/MMPO_Gemma_7b,0.7769240151237956,2733,1.0
aa3aeb96acad2aea,nicolinho/QRM-Llama3.1-8B-v2,0.9377363093060128,2733,1.0
abb269b26d03b4ac,opencompass/CompassJudger-1-1.5B-Instruct,0.6864861568483961,2733,1.0
aef818e85a72e3fa,wenbopan/Faro-Yi-9B-DPO,0.6410537870472008,2733,1.0
b2421f145ce6a803,allenai/tulu-v2.5-13b-uf-rm,0.5037931455055494,2733,1.0
b4b874be6567623a,nicolinho/QRM-Gemma-2-27B,0.9510306134894498,2733,1.0
b63a607a23533cf4,0-hero/Matter-0.1-7B-DPO-preview,0.6700390291498963,2733,1.0
b9c0d34539c6de0d,Qwen/Qwen1.5-72B-Chat,0.6869618246127577,2733,1.0
c62c553d37f75538,allenai/tulu-2-dpo-13b,0.669160873277229,2733,1.0
c6a932a7831554c6,openai/gpt-4o-mini-2024-07-18,0.8162580802536894,2733,1.0
cc480cda1c243ac4,allenai/llama-3-tulu-2-dpo-8b,0.7725332357604585,2733,1.0
ccd2b7ec961e0940,stabilityai/stablelm-2-12b-chat,0.8083790706183681,2733,1.0
d0a92ae2cd3d45e5,NousResearch/Nous-Hermes-2-Mistral-7B-DPO,0.6773935845834858,2733,1.0
d2271d114057bb14,ContextualAI/archangel_sft-kto_llama7b,0.5723563849249909,2733,1.0
d23be54ab8953daf,NousResearch/Hermes-3-Llama-3.1-70B,0.7929320648859618,2733,1.0
d5025c88539ee774,Qwen/Qwen1.5-14B-Chat,0.7026893523600438,2733,1.0
d5b7550307b27c44,SultanR/SmolTulu-1.7b-RM,0.4567630198804733,2733,1.0
d7484cc72320d7aa,LxzGordon/URM-LLaMa-3-8B,0.9102817416758142,2733,1.0
da1f40066c506adc,internlm/internlm2-7b-reward,0.8869374313940724,2733,1.0
db1e1814c7490fdc,openbmb/Eurus-7b-kto,0.7137455787291133,2733,1.0
dbbefb60b265a802,prometheus-eval/prometheus-8x7b-v2.0,0.7549091352603976,2733,1.0
dc560a8325b56bfe,upstage/SOLAR-10.7B-Instruct-v1.0,0.797694840834248,2733,1.0
df6a27d45bbcba13,Ray2333/GRM-Gemma-2B-sftreg,0.7564337114282228,2733,1.0
e053dd23ecaf6d4d,openbmb/Eurus-RM-7b,0.8339431638004634,2733,1.0
e160a3f9ff1f9077,meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,0.8014026100743994,2733,1.0
e25d7ff13efea3eb,weqweasdas/RM-Gemma-2B,0.6480058543724845,2733,1.0
e87a69225791b04f,weqweasdas/RM-Mistral-7B,0.8115014026100744,2733,1.0
eaaa05a2e8a874da,allenai/tulu-2-dpo-70b,0.6964446883766312,2733,1.0
eaaa217715ef2874,IDEA-CCNL/Ziya-LLaMA-7B-Reward,0.626344676180022,2733,1.0
f471e7486983007b,Ray2333/GRM-llama3-8B-sftreg,0.8830954994511526,2733,1.0
f73988f0f6d6cfbe,NCSOFT/Llama-3-OffsetBias-8B,0.8197950969630443,2733,1.0
f99f53fa729c4beb,Skywork/Skywork-Reward-Llama-3.1-8B-v0.2,0.9404195633613857,2733,1.0
fcdbe7d872bdb77d,meta-llama/Meta-Llama-3.1-70B-Instruct,0.848944993291865,2733,1.0
fd25864bfbdd4f2c,Qwen/Qwen1.5-7B-Chat,0.7101597755823881,2733,1.0
