subject_id,display_name,model_mean,n_items_observed,model_obs_rate
1b1ae706971632ad,gpt-4,0.7553442742081996,16513,0.2582900581868235
282d18caec267f9a,mpt-30b-chat,0.6224929015888359,16553,0.25891572295564036
2b127b1e7417b685,falcon-40b-instruct,0.30927368230393043,16563,0.2590721391478446
36229ecd46682e79,wizardlm-7b,0.5177538415185297,16595,0.2595726709628981
396841041ec65693,Llama-2-7b-chat,0.5497108275697591,16772,0.26234123756491273
57a83ebb5b64cbb2,wizardlm-70b,0.7004250363020329,16528,0.25852468247512983
5a726c27e83b8624,pythia-12b,0.3504196642685851,834,0.013045110429831697
744814b5b3011642,gpt-3.5-turbo,0.7502868877212056,16557,0.25897828943252205
8eb1d571e7f3fc8d,ultralm-13b,0.5834891435464415,16580,0.25933804667459176
9058f79c893a1d7e,bard,0.7097983919356774,8333,0.130341612963774
9e2b94428af23429,starchat,0.47392665474060824,13975,0.21859162860539322
afa49332c42bbf2c,alpaca-7b,0.38559015206372194,16572,0.2592129137208284
b5306cf3206f6b66,Llama-2-13b-chat,0.6567722736563665,16634,0.2601826941124945
baa8cf04aa1d15d4,wizardlm-13b,0.6537854889589906,16801,0.26279484452230495
e6019a85dcd32e56,llama-2-70b-chat,0.6610266618409941,16578,0.2593067634361509
f1a9ce853db5d1bf,vicuna-33b,0.6442749686585876,16751,0.2620127635612839
fd4a02ff0baec669,ultralm-65b,0.5701897709557501,16678,0.26087092535819306
